wea_stn_cd,issue_date,forecast_type_day,wea_num,valid_date_calcd
KSEA,20151001,min_3,52,20151004
KYKM,20151001,min_3,49,20151004
KUIL,20151001,min_3,50,20151004
KPDX,20151001,min_3,52,20151004
KLAX,20151001,min_3,63,20151004
KFAT,20151001,min_3,53,20151004
KCPR,20151001,min_3,41,20151004
KP60,20151001,min_3,31,20151004
KPHX,20151001,min_3,71,20151004
KFAR,20151001,min_3,40,20151004
KINL,20151001,min_3,34,20151004
KSEA,20151001,max_3,72,20151004
KYKM,20151001,max_3,72,20151004
KUIL,20151001,max_3,69,20151004
KPDX,20151001,max_3,76,20151004
KLAX,20151001,max_3,67,20151004
KFAT,20151001,max_3,72,20151004
KCPR,20151001,max_3,58,20151004
KP60,20151001,max_3,49,20151004
KPHX,20151001,max_3,92,20151004
KFAR,20151001,max_3,60,20151004
KINL,20151001,max_3,57,20151004
KSEA,20151001,pop1_3,0,20151004
KYKM,20151001,pop1_3,0,20151004
KUIL,20151001,pop1_3,0,20151004
KPDX,20151001,pop1_3,0,20151004
KLAX,20151001,pop1_3,22,20151004
KFAT,20151001,pop1_3,2,20151004
KCPR,20151001,pop1_3,31,20151004
KP60,20151001,pop1_3,44,20151004
KPHX,20151001,pop1_3,0,20151004
KFAR,20151001,pop1_3,5,20151004
KINL,20151001,pop1_3,0,20151004
KSEA,20151001,pop2_3,0,20151004
KYKM,20151001,pop2_3,0,20151004
KUIL,20151001,pop2_3,0,20151004
KPDX,20151001,pop2_3,0,20151004
KLAX,20151001,pop2_3,31,20151004
KFAT,20151001,pop2_3,17,20151004
KCPR,20151001,pop2_3,9,20151004
KP60,20151001,pop2_3,23,20151004
KPHX,20151001,pop2_3,15,20151004
KFAR,20151001,pop2_3,4,20151004
KINL,20151001,pop2_3,1,20151004
KSEA,20151001,min_4,,20151005
KYKM,20151001,min_4,,20151005
KUIL,20151001,min_4,,20151005
KPDX,20151001,min_4,,20151005
KLAX,20151001,min_4,,20151005
KFAT,20151001,min_4,,20151005
KCPR,20151001,min_4,,20151005
KP60,20151001,min_4,,20151005
KPHX,20151001,min_4,,20151005
KFAR,20151001,min_4,,20151005
KINL,20151001,min_4,,20151005
KSEA,20151001,max_4,72,20151005
KYKM,20151001,max_4,76,20151005
KUIL,20151001,max_4,69,20151005
KPDX,20151001,max_4,78,20151005
KLAX,20151001,max_4,68,20151005
KFAT,20151001,max_4,77,20151005
KCPR,20151001,max_4,70,20151005
KP60,20151001,max_4,55,20151005
KPHX,20151001,max_4,86,20151005
KFAR,20151001,max_4,65,20151005
KINL,20151001,max_4,60,20151005
KSEA,20151001,pop1_4,0,20151005
KYKM,20151001,pop1_4,0,20151005
KUIL,20151001,pop1_4,0,20151005
KPDX,20151001,pop1_4,0,20151005
KLAX,20151001,pop1_4,15,20151005
KFAT,20151001,pop1_4,10,20151005
KCPR,20151001,pop1_4,3,20151005
KP60,20151001,pop1_4,9,20151005
KPHX,20151001,pop1_4,22,20151005
KFAR,20151001,pop1_4,3,20151005
KINL,20151001,pop1_4,3,20151005
KSEA,20151001,pop2_4,0,20151005
KYKM,20151001,pop2_4,0,20151005
KUIL,20151001,pop2_4,0,20151005
KPDX,20151001,pop2_4,0,20151005
KLAX,20151001,pop2_4,15,20151005
KFAT,20151001,pop2_4,10,20151005
KCPR,20151001,pop2_4,8,20151005
KP60,20151001,pop2_4,37,20151005
KPHX,20151001,pop2_4,40,20151005
KFAR,20151001,pop2_4,2,20151005
KINL,20151001,pop2_4,3,20151005
KSEA,20151001,min_5,53,20151006
KYKM,20151001,min_5,46,20151006
KUIL,20151001,min_5,49,20151006
KPDX,20151001,min_5,51,20151006
KLAX,20151001,min_5,61,20151006
KFAT,20151001,min_5,56,20151006
KCPR,20151001,min_5,44,20151006
KP60,20151001,min_5,32,20151006
KPHX,20151001,min_5,66,20151006
KFAR,20151001,min_5,47,20151006
KINL,20151001,min_5,42,20151006
KSEA,20151001,max_5,68,20151006
KYKM,20151001,max_5,77,20151006
KUIL,20151001,max_5,65,20151006
KPDX,20151001,max_5,74,20151006
KLAX,20151001,max_5,71,20151006
KFAT,20151001,max_5,81,20151006
KCPR,20151001,max_5,64,20151006
KP60,20151001,max_5,52,20151006
KPHX,20151001,max_5,85,20151006
KFAR,20151001,max_5,66,20151006
KINL,20151001,max_5,61,20151006
KSEA,20151001,pop1_5,1,20151006
KYKM,20151001,pop1_5,0,20151006
KUIL,20151001,pop1_5,1,20151006
KPDX,20151001,pop1_5,1,20151006
KLAX,20151001,pop1_5,3,20151006
KFAT,20151001,pop1_5,1,20151006
KCPR,20151001,pop1_5,13,20151006
KP60,20151001,pop1_5,32,20151006
KPHX,20151001,pop1_5,9,20151006
KFAR,20151001,pop1_5,14,20151006
KINL,20151001,pop1_5,8,20151006
KSEA,20151001,pop2_5,2,20151006
KYKM,20151001,pop2_5,0,20151006
KUIL,20151001,pop2_5,3,20151006
KPDX,20151001,pop2_5,1,20151006
KLAX,20151001,pop2_5,5,20151006
KFAT,20151001,pop2_5,1,20151006
KCPR,20151001,pop2_5,37,20151006
KP60,20151001,pop2_5,42,20151006
KPHX,20151001,pop2_5,12,20151006
KFAR,20151001,pop2_5,25,20151006
KINL,20151001,pop2_5,20,20151006
KSEA,20151001,min_6,52,20151007
KYKM,20151001,min_6,48,20151007
KUIL,20151001,min_6,50,20151007
KPDX,20151001,min_6,52,20151007
KLAX,20151001,min_6,62,20151007
KFAT,20151001,min_6,58,20151007
KCPR,20151001,min_6,41,20151007
KP60,20151001,min_6,31,20151007
KPHX,20151001,min_6,65,20151007
KFAR,20151001,min_6,47,20151007
KINL,20151001,min_6,43,20151007
KSEA,20151001,max_6,66,20151007
KYKM,20151001,max_6,73,20151007
KUIL,20151001,max_6,64,20151007
KPDX,20151001,max_6,71,20151007
KLAX,20151001,max_6,73,20151007
KFAT,20151001,max_6,82,20151007
KCPR,20151001,max_6,63,20151007
KP60,20151001,max_6,52,20151007
KPHX,20151001,max_6,86,20151007
KFAR,20151001,max_6,62,20151007
KINL,20151001,max_6,58,20151007
KSEA,20151001,pop1_6,3,20151007
KYKM,20151001,pop1_6,0,20151007
KUIL,20151001,pop1_6,7,20151007
KPDX,20151001,pop1_6,2,20151007
KLAX,20151001,pop1_6,1,20151007
KFAT,20151001,pop1_6,0,20151007
KCPR,20151001,pop1_6,31,20151007
KP60,20151001,pop1_6,14,20151007
KPHX,20151001,pop1_6,7,20151007
KFAR,20151001,pop1_6,26,20151007
KINL,20151001,pop1_6,24,20151007
KSEA,20151001,pop2_6,14,20151007
KYKM,20151001,pop2_6,5,20151007
KUIL,20151001,pop2_6,32,20151007
KPDX,20151001,pop2_6,14,20151007
KLAX,20151001,pop2_6,1,20151007
KFAT,20151001,pop2_6,1,20151007
KCPR,20151001,pop2_6,17,20151007
KP60,20151001,pop2_6,27,20151007
KPHX,20151001,pop2_6,5,20151007
KFAR,20151001,pop2_6,24,20151007
KINL,20151001,pop2_6,24,20151007
KSEA,20151001,min_7,54,20151008
KYKM,20151001,min_7,50,20151008
KUIL,20151001,min_7,51,20151008
KPDX,20151001,min_7,54,20151008
KLAX,20151001,min_7,64,20151008
KFAT,20151001,min_7,60,20151008
KCPR,20151001,min_7,40,20151008
KP60,20151001,min_7,31,20151008
KPHX,20151001,min_7,65,20151008
KFAR,20151001,min_7,43,20151008
KINL,20151001,min_7,40,20151008
KSEA,20151001,max_7,66,20151008
KYKM,20151001,max_7,72,20151008
KUIL,20151001,max_7,64,20151008
KPDX,20151001,max_7,70,20151008
KLAX,20151001,max_7,76,20151008
KFAT,20151001,max_7,84,20151008
KCPR,20151001,max_7,64,20151008
KP60,20151001,max_7,52,20151008
KPHX,20151001,max_7,89,20151008
KFAR,20151001,max_7,61,20151008
KINL,20151001,max_7,57,20151008
KSEA,20151001,pop1_7,32,20151008
KYKM,20151001,pop1_7,14,20151008
KUIL,20151001,pop1_7,53,20151008
