wea_stn_cd,valid_date,max_3,max_4,max_5,max_6,max_7,min_3,min_4,min_5,min_6,min_7,pop1_3,pop1_4,pop1_5,pop1_6,pop1_7,pop2_3,pop2_4,pop2_5,pop2_6,pop2_7,max_temp,min_temp,water
KCPR,20151004,58,,,,,41,,,,,31,,,,,9,,,,,47,40,0.03
KCPR,20151005,66,70,,,,40,,,,,1,3,,,,1,8,,,,72,44,T
KCPR,20151006,67,66,64,,,44,43,44,,,8,5,13,,,31,25,37,,,69,46,0.01
KCPR,20151007,70,69,66,63,,44,44,44,41,,10,9,27,31,,6,11,22,17,,76,42,0.00
KCPR,20151008,65,64,67,66,64,43,43,42,42,40,13,20,10,10,12,8,14,4,16,14,69,39,0.00
KCPR,20151009,72,72,70,70,66,40,43,40,42,43,3,10,2,1,19,1,1,1,0,14,74,33,0.00
KCPR,20151010,79,78,77,74,71,46,46,45,43,44,1,0,0,2,8,0,0,0,0,5,85,50,0.00
KCPR,20151011,76,76,78,79,79,54,52,50,48,44,0,0,1,0,0,0,0,1,0,0,79,34,0.00
KCPR,20151012,72,71,73,72,72,37,37,41,45,47,0,0,2,4,3,0,0,2,4,3,76,23,0.00
KCPR,20151013,74,76,76,75,70,44,44,44,45,42,0,0,0,1,3,0,0,0,1,4,79,36,0.00
KCPR,20151014,74,74,72,72,71,41,42,44,43,43,0,0,0,0,1,0,0,0,0,1,78,41,0.00
KCPR,20151015,60,66,68,68,65,40,42,41,40,40,0,0,0,1,2,4,3,2,2,3,65,31,0.00
KCPR,20151016,68,64,66,67,68,34,34,36,38,39,0,1,3,4,6,0,0,0,1,8,75,23,0.00
KCPR,20151017,73,71,72,71,72,39,39,37,39,41,0,0,0,0,1,1,1,2,1,4,78,27,0.00
KCPR,20151018,74,72,71,73,73,47,48,47,46,45,11,4,3,2,1,5,8,3,6,3,75,49,0.00
KCPR,20151019,70,67,63,63,65,48,46,44,45,45,0,12,26,27,16,17,20,36,30,28,68,38,0.00
KCPR,20151020,62,58,57,56,58,43,42,42,39,40,10,24,33,38,32,33,52,15,39,28,66,43,0.00
KCPR,20151021,58,57,60,59,59,37,38,36,35,35,27,31,27,8,17,9,11,5,8,8,58,32,0.04
KCPR,20151022,62,62,63,66,65,37,37,37,37,37,5,9,5,2,9,23,19,11,2,5,50,29,0.50
KCPR,20151023,56,54,55,59,63,39,39,38,39,39,32,43,33,14,4,32,41,34,21,9,55,30,0.03
KCPR,20151024,59,55,55,54,57,31,32,31,33,35,5,31,24,22,26,0,11,9,13,17,62,29,0.00
KCPR,20151025,59,53,53,57,57,35,33,31,31,32,0,2,10,6,7,0,6,15,6,10,63,28,0.00
KCPR,20151026,61,64,60,53,58,35,35,32,31,33,1,3,4,17,8,6,5,5,15,9,66,39,T
KCPR,20151027,54,54,50,54,54,36,36,34,33,29,12,14,15,12,12,25,23,29,12,10,47,30,0.30
KCPR,20151028,53,54,51,54,58,28,29,27,28,30,19,16,25,20,9,1,0,2,5,3,55,24,0.00
KCPR,20151029,54,53,56,57,59,30,29,33,30,32,1,2,2,1,2,9,8,15,3,3,54,20,T
KCPR,20151030,53,49,49,51,54,31,31,30,32,32,19,26,19,28,13,5,24,18,24,17,55,32,0.00
KCPR,20151031,60,60,57,55,56,33,32,29,30,32,0,1,6,10,13,1,1,2,4,6,66,40,0.00
KFAR,20151004,60,,,,,40,,,,,5,,,,,4,,,,,63,49,0.01
KFAR,20151005,61,65,,,,47,,,,,13,3,,,,18,2,,,,62,54,0.00
KFAR,20151006,66,64,66,,,44,43,47,,,2,13,14,,,0,3,25,,,63,38,0.00
KFAR,20151007,65,65,66,62,,41,44,42,47,,0,7,3,26,,30,27,10,24,,67,31,0.05
KFAR,20151008,59,61,63,69,61,49,49,47,49,43,70,69,51,38,24,11,27,19,36,24,55,47,0.00
KFAR,20151009,62,64,64,66,66,38,39,39,43,48,4,0,3,8,22,1,0,1,1,16,63,38,0.00
KFAR,20151010,79,76,72,71,68,49,48,48,48,47,1,5,4,10,8,1,1,3,5,7,83,50,0.00
KFAR,20151011,82,81,81,76,71,55,55,53,51,44,0,1,1,0,4,0,1,1,0,2,97,51,T
KFAR,20151012,58,60,65,70,74,47,50,51,53,53,12,12,10,4,4,4,6,6,8,4,62,37,0.03
KFAR,20151013,66,69,70,70,66,37,39,41,46,48,0,0,0,1,4,0,0,1,2,5,62,32,0.00
KFAR,20151014,62,63,65,65,64,43,43,44,45,46,0,0,1,4,2,1,2,2,1,2,71,36,0.00
KFAR,20151015,56,59,60,59,60,42,39,40,41,41,14,4,3,3,4,11,10,7,3,9,59,28,0.00
KFAR,20151016,47,49,53,55,57,31,33,34,35,36,0,6,5,9,3,1,3,3,5,9,50,22,0.00
KFAR,20151017,53,52,54,56,56,28,27,30,32,33,0,0,0,1,4,0,0,1,1,1,58,23,0.00
KFAR,20151018,63,61,61,61,61,35,35,35,35,36,7,0,0,0,0,10,0,1,1,1,70,41,0.00
KFAR,20151019,68,67,67,64,63,45,45,46,43,41,0,18,5,5,3,3,12,16,11,10,73,47,0.00
